address_id;street;zip_code;city;country
A721387523;Weißenburgstr. 116;56130;Bad Ems;Germany
V905408138;995-1909 Metus. Rd.;9921RA;Hollister;Samoa
I435988779;Ap #890-6962 Dictum. St.;2801IL;Canton;Madagascar
S233472417;982-913 At, Road;7699SO;Salem;Iceland
Y502067781;652-3717 Leo Rd.;7246QV;New Madrid;Portugal
P702102997;P.O. Box 809, 2836 Eu, Av.;4155RZ;Clarksburg;Aruba
O901682918;Ap #142-6669 Pede Av.;1076VV;Kalispell;Botswana
F452064329;Mindener Str. 24;27356;Rotenburg an der Wümme;Germany
F592172131;Ap #415-5938 Elementum Road;2629MT;Abilene;Burkina Faso
L005278210;P.O. Box 499, 7648 Aenean St.;4304TP;Shamokin;Greenland
G906473022;Friedrichstr. 80;58644;Iserlohn;Germany
E395677078;P.O. Box 787, 4607 Ligula St.;7529RJ;Gulfport;Jordan
E093646069;P.O. Box 901, 1666 Mattis Street;3839AP;Peabody;Lebanon
E290008428;Ap #982-702 Non St.;5694WD;Hawaiian Gardens;Andorra
A365644864;4040 Vivamus Avenue;1119GF;La Palma;Djibouti
U863509002;Ap #435-6410 Ante Ave;0583XW;Cape Girardeau;France
T823256844;7054 Vulputate, Street;1994QT;Chickasha;Angola
P483123930;Rosenplatz 152a;99869;Weingarten;Germany
B078654702;P.O. Box 835, 5171 Mi St.;0197CH;Redlands;Senegal
P368357368;P.O. Box 523, 4931 Curabitur Rd.;8203KD;Cheyenne;Turks and Caicos Islands
